Hot spot	crosswordtracker.com/clue/hot-spot/
Spring	crosswordtracker.com/clue/spring/
Whirlpool	crosswordtracker.com/clue/whirlpool/
Place to be pampered	crosswordtracker.com/clue/place-to-be-pampered/
Bath or Baden-Baden	crosswordtracker.com/clue/bath-or-baden-baden/
Health resort	crosswordtracker.com/clue/health-resort/
Retreat	crosswordtracker.com/clue/retreat/
Health concern	crosswordtracker.com/clue/health-concern/
Resort	crosswordtracker.com/clue/resort-56/
Some like it hot	crosswordtracker.com/clue/some-like-it-hot/
Vacation spot	crosswordtracker.com/clue/vacation-spot/
Watering hole	crosswordtracker.com/clue/watering-hole/
Hot tub	crosswordtracker.com/clue/hot-tub/
Place to relax	crosswordtracker.com/clue/place-to-relax/
Place to unwind	crosswordtracker.com/clue/place-to-unwind/
Relaxing resort	crosswordtracker.com/clue/relaxing-resort/
Mineral springs	crosswordtracker.com/clue/mineral-springs/
Vacation destination	crosswordtracker.com/clue/vacation-destination/
Resting place	crosswordtracker.com/clue/resting-place/
Hotel amenity	crosswordtracker.com/clue/hotel-amenity-2/
Getaway spot	crosswordtracker.com/clue/getaway-spot/
Fitness center	crosswordtracker.com/clue/fitness-center/
Aromatherapy venue	crosswordtracker.com/clue/aromatherapy-venue/
Restorative resort	crosswordtracker.com/clue/restorative-resort/
Health club	crosswordtracker.com/clue/health-club/
Sweat spot	crosswordtracker.com/clue/sweat-spot/
Pampering place	crosswordtracker.com/clue/pampering-place/
Evian, e.g.	crosswordtracker.com/clue/evian-eg/
Hydromassage facility	crosswordtracker.com/clue/hydromassage-facility/
Mineral spring	crosswordtracker.com/clue/mineral-spring/
Place for losers?	crosswordtracker.com/clue/place-for-losers/
Healthful resort	crosswordtracker.com/clue/healthful-resort/
Health farm	crosswordtracker.com/clue/health-farm/
Getaway	crosswordtracker.com/clue/getaway/
Massage locale	crosswordtracker.com/clue/massage-locale/
Jacuzzi	crosswordtracker.com/clue/jacuzzi-6/
