"For shame!"	crosswordtracker.com/clue/for-shame/
Foot part	crosswordtracker.com/clue/foot-part/
Shoe part	crosswordtracker.com/clue/shoe-part/
Foot feature	crosswordtracker.com/clue/foot-feature/
Low digit	crosswordtracker.com/clue/low-digit/
Boot part	crosswordtracker.com/clue/boot-part/
Corn holder	crosswordtracker.com/clue/corn-holder/
Part of a foot	crosswordtracker.com/clue/part-of-a-foot/
Ring site	crosswordtracker.com/clue/ring-site/
Part of the foot	crosswordtracker.com/clue/part-of-the-foot/
Site for a ring	crosswordtracker.com/clue/site-for-a-ring/
Place for a ring	crosswordtracker.com/clue/place-for-a-ring/
Water tester	crosswordtracker.com/clue/water-tester/
Stocking stuffer	crosswordtracker.com/clue/stocking-stuffer-1/
Little piggy	crosswordtracker.com/clue/little-piggy/
Small digit	crosswordtracker.com/clue/small-digit/
Kind of dance	crosswordtracker.com/clue/kind-of-dance-3/
Body part	crosswordtracker.com/clue/body-part-20/
Sock part	crosswordtracker.com/clue/sock-part/
Bathwater temperature tester	crosswordtracker.com/clue/bathwater-temperature-tester/
Kind of dancer	crosswordtracker.com/clue/kind-of-dancer/
Nail site	crosswordtracker.com/clue/nail-site/
Corn site	crosswordtracker.com/clue/corn-site/
Digit	crosswordtracker.com/clue/digit-78/
Turning point?	crosswordtracker.com/clue/turning-point-3/
Low digit?	crosswordtracker.com/clue/low-digit-2/
Darned spot	crosswordtracker.com/clue/darned-spot/
Part of a sock	crosswordtracker.com/clue/part-of-a-sock/
Big __	crosswordtracker.com/clue/big-__/
Part of a shoe	crosswordtracker.com/clue/part-of-a-shoe/
Stocking stuffer?	crosswordtracker.com/clue/stocking-stuffer/
Pirouette pivot	crosswordtracker.com/clue/pirouette-pivot/
Piggy	crosswordtracker.com/clue/piggy-7/
Nail holder	crosswordtracker.com/clue/nail-holder/
Stocking's end	crosswordtracker.com/clue/stockings-end/
Bathwater tester	crosswordtracker.com/clue/bathwater-tester/
Golf-club part	crosswordtracker.com/clue/golf-club-part-1/
Little dipper?	crosswordtracker.com/clue/little-dipper/
Golf club part	crosswordtracker.com/clue/golf-club-part/
Kicker	crosswordtracker.com/clue/kicker-10/
Tip of a sock	crosswordtracker.com/clue/tip-of-a-sock/
Tip of a shoe	crosswordtracker.com/clue/tip-of-a-shoe/
Pedal digit	crosswordtracker.com/clue/pedal-digit/
Podiatrist's concern	crosswordtracker.com/clue/podiatrists-concern/
Ring bearer, maybe	crosswordtracker.com/clue/ring-bearer-maybe/
Unit smaller than a foot	crosswordtracker.com/clue/unit-smaller-than-a-foot/
Stubbing victim	crosswordtracker.com/clue/stubbing-victim/
Big or little digit	crosswordtracker.com/clue/big-or-little-digit/
Stocking part	crosswordtracker.com/clue/stocking-part/
Ballerina's pivot	crosswordtracker.com/clue/ballerinas-pivot/
Familiar tapper	crosswordtracker.com/clue/familiar-tapper/
Stubbed digit	crosswordtracker.com/clue/stubbed-digit/
Tub temperature tester	crosswordtracker.com/clue/tub-temperature-tester/
Tootsie	crosswordtracker.com/clue/tootsie/
Polish site	crosswordtracker.com/clue/polish-site/
Sock section	crosswordtracker.com/clue/sock-section/
Musician's tapper	crosswordtracker.com/clue/musicians-tapper/
Hose part	crosswordtracker.com/clue/hose-part/
Head's opposite	crosswordtracker.com/clue/heads-opposite/
Ballerina's support	crosswordtracker.com/clue/ballerinas-support/
Foot digit	crosswordtracker.com/clue/foot-digit/
The third O of OOO	crosswordtracker.com/clue/the-third-o-of-ooo/
Ballerina's perch	crosswordtracker.com/clue/ballerinas-perch/
Phalanx locale	crosswordtracker.com/clue/phalanx-locale/
Stubbed thing	crosswordtracker.com/clue/stubbed-thing/
Stocking's tip	crosswordtracker.com/clue/stockings-tip/
Tip of a wingtip	crosswordtracker.com/clue/tip-of-a-wingtip/
Kicker?	crosswordtracker.com/clue/kicker-11/
"Little piggy"	crosswordtracker.com/clue/little-piggy-4/
Get the point of	crosswordtracker.com/clue/get-the-point-of/
Kind of hold	crosswordtracker.com/clue/kind-of-hold/
Dactyl, e.g.	crosswordtracker.com/clue/dactyl-eg/
Hallux	crosswordtracker.com/clue/hallux/
Sneaker part	crosswordtracker.com/clue/sneaker-part/
It's tapped	crosswordtracker.com/clue/its-tapped-1/
Pedicure target	crosswordtracker.com/clue/pedicure-target/
Tot's "little piggie"	crosswordtracker.com/clue/tots-little-piggie/
Oft-stubbed digit	crosswordtracker.com/clue/oft-stubbed-digit/
''Little piggie''	crosswordtracker.com/clue/little-piggie/
Corn grower?	crosswordtracker.com/clue/corn-grower/
