Put away	crosswordtracker.com/clue/put-away/
Frost	crosswordtracker.com/clue/frost/
Summer cooler	crosswordtracker.com/clue/summer-cooler/
Hotel freebie	crosswordtracker.com/clue/hotel-freebie/
Secure	crosswordtracker.com/clue/secure/
Cryophobe's fear	crosswordtracker.com/clue/cryophobes-fear/
Lock up	crosswordtracker.com/clue/lock-up-4/
Knock off	crosswordtracker.com/clue/knock-off/
Driving hazard	crosswordtracker.com/clue/driving-hazard/
Winter coat	crosswordtracker.com/clue/winter-coat/
Chill	crosswordtracker.com/clue/chill/
Cinch	crosswordtracker.com/clue/cinch/
Do away with	crosswordtracker.com/clue/do-away-with/
Bump off	crosswordtracker.com/clue/bump-off/
Whack	crosswordtracker.com/clue/whack/
Cooler	crosswordtracker.com/clue/cooler/
Clinch	crosswordtracker.com/clue/clinch/
Sew up	crosswordtracker.com/clue/sew-up/
Hotel amenity	crosswordtracker.com/clue/hotel-amenity-2/
Curling surface	crosswordtracker.com/clue/curling-surface/
Winter coat?	crosswordtracker.com/clue/winter-coat-1/
Bar supply	crosswordtracker.com/clue/bar-supply/
Freeze	crosswordtracker.com/clue/freeze/
Winter hazard	crosswordtracker.com/clue/winter-hazard/
Water cooler	crosswordtracker.com/clue/water-cooler/
Rocks	crosswordtracker.com/clue/rocks/
"Rhyme Pays" rapper	crosswordtracker.com/clue/rhyme-pays-rapper/
Bar staple	crosswordtracker.com/clue/bar-staple/
Swelling reducer	crosswordtracker.com/clue/swelling-reducer/
Winter driving hazard	crosswordtracker.com/clue/winter-driving-hazard/
Rocks at the bar	crosswordtracker.com/clue/rocks-at-the-bar/
Bartender's supply	crosswordtracker.com/clue/bartenders-supply/
Diamonds, in slang	crosswordtracker.com/clue/diamonds-in-slang/
Summer treat	crosswordtracker.com/clue/summer-treat-1/
Rink surface	crosswordtracker.com/clue/rink-surface/
Bar stock	crosswordtracker.com/clue/bar-stock/
Water cooler?	crosswordtracker.com/clue/water-cooler-1/
Type of tray	crosswordtracker.com/clue/type-of-tray/
Sculpting medium	crosswordtracker.com/clue/sculpting-medium/
Skating surface	crosswordtracker.com/clue/skating-surface/
Kind of beer	crosswordtracker.com/clue/kind-of-beer/
Diamonds, slangily	crosswordtracker.com/clue/diamonds-slangily/
Diamonds	crosswordtracker.com/clue/diamonds-33/
Sheet material	crosswordtracker.com/clue/sheet-material/
Food preserver	crosswordtracker.com/clue/food-preserver/
Frozen water	crosswordtracker.com/clue/frozen-water/
Cap material?	crosswordtracker.com/clue/cap-material/
Hard water?	crosswordtracker.com/clue/hard-water/
