Kind of party	crosswordtracker.com/clue/kind-of-party/
Some like it hot	crosswordtracker.com/clue/some-like-it-hot/
Kind of bag	crosswordtracker.com/clue/kind-of-bag-2/
Coffee alternative	crosswordtracker.com/clue/coffee-alternative/
Hot drink	crosswordtracker.com/clue/hot-drink/
Herbal brew	crosswordtracker.com/clue/herbal-brew/
Afternoon social	crosswordtracker.com/clue/afternoon-social/
Sri Lanka export	crosswordtracker.com/clue/sri-lanka-export/
After-dinner drink	crosswordtracker.com/clue/after-dinner-drink/
Social event	crosswordtracker.com/clue/social-event/
Social	crosswordtracker.com/clue/social/
Herbal drink	crosswordtracker.com/clue/herbal-drink/
Caffeine source	crosswordtracker.com/clue/caffeine-source-2/
Kind of service	crosswordtracker.com/clue/kind-of-service/
Earl Grey, e.g.	crosswordtracker.com/clue/earl-grey-eg/
Chinese restaurant drink	crosswordtracker.com/clue/chinese-restaurant-drink/
Tetley product	crosswordtracker.com/clue/tetley-product/
Brewed beverage	crosswordtracker.com/clue/brewed-beverage/
Picker-upper	crosswordtracker.com/clue/picker-upper-2/
Afternoon break	crosswordtracker.com/clue/afternoon-break/
Sri Lankan export	crosswordtracker.com/clue/sri-lankan-export/
Mad Hatter's drink	crosswordtracker.com/clue/mad-hatters-drink/
Afternoon service	crosswordtracker.com/clue/afternoon-service/
Steeped beverage	crosswordtracker.com/clue/steeped-beverage-1/
Leaves in a bag	crosswordtracker.com/clue/leaves-in-a-bag/
It's in the bag	crosswordtracker.com/clue/its-in-the-bag/
It gets into hot water	crosswordtracker.com/clue/it-gets-into-hot-water/
Crumpets go-with	crosswordtracker.com/clue/crumpets-go-with/
Lipton product	crosswordtracker.com/clue/lipton-product/
___ rose	crosswordtracker.com/clue/___-rose-6/
Darjeeling, for one	crosswordtracker.com/clue/darjeeling-for-one/
Genteel affair	crosswordtracker.com/clue/genteel-affair/
Leaves for a drink	crosswordtracker.com/clue/leaves-for-a-drink-1/
___ party	crosswordtracker.com/clue/___-party-1/
Caddy's contents	crosswordtracker.com/clue/caddys-contents/
1773 jetsam	crosswordtracker.com/clue/1773-jetsam-1/
Oolong, e.g.	crosswordtracker.com/clue/oolong-eg/
Herbal beverage	crosswordtracker.com/clue/herbal-beverage/
Crumpets partner	crosswordtracker.com/clue/crumpets-partner/
Hyson, e.g.	crosswordtracker.com/clue/hyson-eg/
"Coffee or ___?"	crosswordtracker.com/clue/coffee-or-___/
Oolong, for one	crosswordtracker.com/clue/oolong-for-one/
Chinese restaurant beverage	crosswordtracker.com/clue/chinese-restaurant-beverage-1/
Hyson, for one	crosswordtracker.com/clue/hyson-for-one/
Society event	crosswordtracker.com/clue/society-event/
Afternoon affair	crosswordtracker.com/clue/afternoon-affair-1/
Lemon ___	crosswordtracker.com/clue/lemon-___/
Gunpowder, e.g.	crosswordtracker.com/clue/gunpowder-eg/
High ___	crosswordtracker.com/clue/high-___-7/
Type of bag	crosswordtracker.com/clue/type-of-bag-1/
High __	crosswordtracker.com/clue/high-__/
Contents of some bags	crosswordtracker.com/clue/contents-of-some-bags/
Black __	crosswordtracker.com/clue/black-__/
Party drink	crosswordtracker.com/clue/party-drink/
Society affair	crosswordtracker.com/clue/society-affair/
Break fluid?	crosswordtracker.com/clue/break-fluid/
Soho social	crosswordtracker.com/clue/soho-social/
Wonderland drink	crosswordtracker.com/clue/wonderland-drink/
Brighton brew	crosswordtracker.com/clue/brighton-brew/
Drink with crumpets	crosswordtracker.com/clue/drink-with-crumpets/
Chinese export	crosswordtracker.com/clue/chinese-export-1/
Leaves for a party?	crosswordtracker.com/clue/leaves-for-a-party/
It's served in spots	crosswordtracker.com/clue/its-served-in-spots/
Twinings product	crosswordtracker.com/clue/twinings-product/
Gunpowder, for one	crosswordtracker.com/clue/gunpowder-for-one/
Indian export	crosswordtracker.com/clue/indian-export/
Hot beverage	crosswordtracker.com/clue/hot-beverage-3/
Leaves in the bag	crosswordtracker.com/clue/leaves-in-the-bag/
Hot spot?	crosswordtracker.com/clue/hot-spot-1/
Social gathering	crosswordtracker.com/clue/social-gathering/
1773 jetsam in Boston Harbor	crosswordtracker.com/clue/1773-jetsam-in-boston-harbor/
It may be served in spots	crosswordtracker.com/clue/it-may-be-served-in-spots/
It's for two, in song	crosswordtracker.com/clue/its-for-two-in-song/
Oolong or pekoe	crosswordtracker.com/clue/oolong-or-pekoe/
Sympathy partner	crosswordtracker.com/clue/sympathy-partner/
Chinese beverage	crosswordtracker.com/clue/chinese-beverage/
Steeper?	crosswordtracker.com/clue/steeper/
Sympathy's partner	crosswordtracker.com/clue/sympathys-partner/
Leaves in the afternoon?	crosswordtracker.com/clue/leaves-in-the-afternoon/
Leaves in hot water	crosswordtracker.com/clue/leaves-in-hot-water/
Chinese drink	crosswordtracker.com/clue/chinese-drink/
Leaves in hot water?	crosswordtracker.com/clue/leaves-in-hot-water-1/
Drink with dim sum	crosswordtracker.com/clue/drink-with-dim-sum/
Leaves in the bag?	crosswordtracker.com/clue/leaves-in-the-bag-1/
Caddy's holding	crosswordtracker.com/clue/caddys-holding/
Afternoon event in Chelsea	crosswordtracker.com/clue/afternoon-event-in-chelsea/
Japanese ceremonial drink	crosswordtracker.com/clue/japanese-ceremonial-drink/
Earl Grey, for one	crosswordtracker.com/clue/earl-grey-for-one/
What some caddies hold	crosswordtracker.com/clue/what-some-caddies-hold/
Part of a baby bottle	crosswordtracker.com/clue/part-of-a-baby-bottle/
Kind of garden	crosswordtracker.com/clue/kind-of-garden/
Japanese drink	crosswordtracker.com/clue/japanese-drink/
Ubiquitous beverage	crosswordtracker.com/clue/ubiquitous-beverage/
Beverage order	crosswordtracker.com/clue/beverage-order/
Genteel gathering	crosswordtracker.com/clue/genteel-gathering/
Pekoe, for instance	crosswordtracker.com/clue/pekoe-for-instance/
Beverage for two?	crosswordtracker.com/clue/beverage-for-two/
It goes with crumpets	crosswordtracker.com/clue/it-goes-with-crumpets/
